,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
34,20200614,VET,0.00864,0.009597,0.00962,0.008419,3451014443.0,-3.925933959755129e-06,40.74204706112492,-62.14330112448471,16.091693846785624,0.0
35,20200615,ADA,0.07824,0.07644,0.07984,0.0693,618344225.9999992,-0.00014782268696056367,35.49575177945776,-114.88423373759638,100.0,0.0
36,20200615,BNB,16.377,16.5728,16.5982,15.4,1521685.2099999988,-0.02656321705331166,26.72096038344307,-132.4629289648363,98.43968053362717,0.0
37,20200615,BTC,9426.02,9342.1,9495.0,8910.45,86107.92470700009,-12.929023387912821,28.30082378582999,-96.7371173561284,100.0,0.0
38,20200615,ETH,230.86,231.74,233.55,218.27,875026.9205700014,-0.5582702566123885,23.731847972665093,-138.7150373857654,100.0,0.0
39,20200615,LINK,3.9274,3.9395,3.9889,3.6551,6850306.110000006,-0.017151045136907683,19.291648708316345,-126.78644991602489,100.0,0.0
40,20200615,LTC,43.73,44.04,44.09,41.75,355287.5401599997,-0.08010060539589148,28.261721760285923,-113.88235294117615,100.0,0.0
41,20200615,VET,0.00901,0.008641,0.0093,0.007692,5372712903.0,-8.676756257161924e-06,49.61220507426719,-82.68536222647099,15.76461004986662,0.0
42,20200616,ADA,0.07925,0.07822,0.07977999999999999,0.07656,292089259.0000001,-8.23934436046253e-05,39.48702017941468,5.735324621447531,100.0,0.0
43,20200616,BNB,16.4329,16.3758,16.6481,16.1562,1614905.6400000004,-0.03036881212378617,28.798582287885978,-54.772783483683014,93.33219848402399,0.0
44,20200616,BTC,9525.59,9426.05,9589.0,9373.09,52052.44692699994,-7.341188827476799,35.56795885967905,13.790765249265812,79.63773734867725,0.0
45,20200616,ETH,235.3,230.86,236.0,228.7,499194.6675800003,-0.44693808289579806,34.159468528493065,-40.1343377741484,82.99252905907206,0.0
46,20200616,LINK,4.0502,3.9254,4.0918,3.8935,3623759.7100000037,-0.0136270875356308,31.349341353005997,-35.60517677559692,73.4587010191859,0.0
47,20200616,LTC,43.88,43.73,44.22,43.33,215557.5907299998,-0.09025937411511364,30.074792848976884,-56.41881451263898,95.0352160243374,0.0
48,20200616,VET,0.009061,0.009018,0.009418,0.008782,3040162135.0,-9.26366483064607e-06,50.665208342331546,-2.4304454810322587,10.503451690865855,0.0
49,20200617,ADA,0.08349,0.07925,0.08398,0.07729,470477521.3999999,0.00016445723810759594,52.3036886130594,110.54642086032162,47.347635000534076,0.0
50,20200617,BNB,16.3983,16.4331,16.632,15.9709,1502697.31,-0.03407785968108357,28.28509239934344,-68.50295551025606,93.95028828737128,0.0
51,20200617,BTC,9465.14,9526.97,9565.0,9236.61,48046.41115200004,-6.351328079314044,33.43934040153917,-26.950487817603484,82.41625009642682,0.0
52,20200617,ETH,233.82,235.31,237.3,227.65,478187.2917000004,-0.4354887888306962,32.62149838914158,-44.20849420849415,74.57226053546832,0.0
53,20200617,LINK,4.1659,4.0502,4.2,3.957,4301280.98,-0.005542390470711922,40.075242135180126,22.175755548120723,50.94321362855572,0.0
